物品ID,装备名称,物品类型(1、装备 2、物品),装备图标ID,装备标签组,装备标签子类型,是否英雄专属（0.非英雄专属 1.英雄专属）,英雄ID,职业限制（0.无限制  1.近战  2.远程）,合成需要装备,能合装备,绝对价格,出售价格,效果ID组,效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,继承效果ID组,继承效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,继承物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,战场限制（战场ID）,自动使用（装备满格后，购买能够不占格子，自动使用其效果）,特殊槽位物品（0.非眼位  1.眼位）,是否能主动使用（0.无主动技能  1.有主动技能）,使用是否移除（0.主动使用完不移除  1.主动使用完移除）,是否能叠加（0.同格不能叠加  1.同格能叠加）,最大叠加数量,最大拥有数,使用BuffID,使用Buff冷却ID,使用技能ID,可使用次数（主动技能使用buff实现，才可使用）,对应图标组,购买界面描述,物品栏描述,装备贵重度,标识,装备定位说明
112,$诅咒之眼,1,70,3;3,3001;3003,0,,0,147;168,,2300,1150,4052;4143;5279,1;2;2,,4143;5279,2;2,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+70法强[/green]<br>[yellow]唯一被动：[/yellow][blue]无视目标45%的额外魔抗[/blue]<br>[yellow]唯一被动：[/yellow][blue]技能命中英雄时施加4秒的重伤效果。[/blue],$[green]+70法强[/green]<br>[yellow]唯一被动：[/yellow][blue]无视目标45%的额外魔抗[/blue]<br>[yellow]唯一被动：[/yellow][blue]技能命中英雄时施加4秒的重伤效果。[/blue],0,1,[size=18][orange]克制高魔抗[/orange][/size]
222,$天使权杖,1,106,3;3;3;5,3001;3006;3002;5001,0,,0,240;148,,2200,1100,19129;19130;19131;19132;19282,1;1;1;3;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+60法强<br>+100%法力回复<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]对友方和自己使用增益技能时会额外回复目标40+等级*10点的生命值，持续5秒[/blue],$[green]+60法强<br>+100%法力回复<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]对友方和自己使用附带增益效果类型技能时会额外回复目标[LEVEL=1000+40]点的生命值，持续5秒[/blue],0,1,[size=18][orange]提升辅助加血[/orange][/size]
223,$光子护翼,1,211,3;4;3;5,3001;4001;3002;5001,0,,0,201;148,,2100,1050,19134;19135;19136;19283,1;1;3;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+40法强<br>+300生命值<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]对友方和自己使用增益技能时会额外增加一个抵挡40+等级*10点伤害的护盾，持续3秒[/blue],$[green]+40法强<br>+300生命值<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]对友方和自己用附带增益效果类型技能时会额外增加一个抵挡[LEVEL=1000+40]点伤害的护盾，持续3秒[/blue],0,1,[size=18][orange]提升辅助保人[/orange][/size]
137,$永恒救赎,1,32,4;3;3;5,4001;3001;3002;5001,0,,0,,,2200,1100,4090;4091;4245;19275,1;1;2;1,,,,,,0,0,0,0,0,1,6,,,,,,$[green]+300生命值<br>+40法强[/green]<br>[yellow]唯一被动：[/yellow][blue]每使用一次技能，就会随机给周围的一位友方英雄加一层抵挡110+0.4*AP伤害的护盾，持续3秒。（优先选择最少血量的英雄）[/blue],$[green]+300生命值<br>+40法强[/green]<br>[yellow]唯一被动：[/yellow][blue]每使用一次技能，就会随机给周围的一位友方英雄加一层抵挡110+0.4*AP伤害的护盾，持续3秒。（优先选择最少血量的英雄）[/blue],0,1,  
138,$女神恩赐,1,77,3;3;3;5,3001;3006;3002;5001,0,,0,202;168,,2350,1175,4092;4106;4229;19295;19276,1;1;1;3;1,19296,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+50法强<br>+100%法力回复<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]英雄释放护盾技能和治疗技能的效果提升30%。[/blue],$[green]+50法强<br>+100%法力回复<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]英雄释放护盾技能和治疗技能的效果提升30%。[/blue],0,1,[size=18][orange]辅助核心装[/orange][/size]
225,$亡灵邪典,1,115,3;3;7;6,3001;7001;6001,0,,0,147;176;168,,2550,1275,19048;3508;19049;19311;6277,1;1;1;2;2,4027,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2046,,,,$[green]+80法强<br>+8%移动速度[/green]<br>[green]+150%基础法力回复[/green]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能命中野怪时每秒最多额外造成（30+英雄等级）点的法术伤害，且每秒最多回复自身（30+英雄等级）点的生命值[/blue]<br>[yellow]唯一被动：[/yellow][blue]下一次普攻造成（100+法强*0.1）点范围法术伤害，10秒触发1次[/blue],$[green]+80法强<br>+8%移动速度[/green]<br>[green]+150%基础法力回复[/green]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能命中野怪时每秒最多额外造成[LEVEL=100+30]点的法术伤害，且每秒最多回复自身[LEVEL=100+30]点的生命值[/blue]<br>[yellow]唯一被动：[/yellow][blue]下一次普攻造成[orange][MA=10+100][/orange]点的范围法术伤害，10秒触发1次[/blue],0,1,[size=18][orange]法系打野装[/orange][/size]
226,$天使之泪,1,118,3;3;3,3001;3006;3002,0,,0,148;168,,2200,1100,19138;19139;19140;19284,1;1;2;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+60法强<br>+100%法力回复<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]对友方和自己使用增益技能时会给目标额外增加一个提升攻击力的增益效果，提升值为30+目标攻击力*10%，持续8秒[/blue],$[green]+60法强<br>+100%法力回复<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]对友方和自己用附带增益效果类型技能时会给目标额外增加一个提升攻击力的增益效果，提升值为30+目标攻击力*10%，持续8秒[/blue],0,1,[size=18][orange]辅助核心英雄输出[/orange][/size]
145,$智者典籍,1,2,3,3001,0,,0,,107;113;224;126,1300,650,4397,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+60法强[/green],$[green]+60法强[/green],1,1,  
148,$紫水晶,1,73,3;3;,3001;3002,0,,0,168,106;114;111;222;223;226,900,450,4402;4403;4453,1;1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30法强[/green]<br>[yellow]唯一被动：[/yellow][blue]+10%冷却缩减[/blue],$[green]+30法强[/green]<br>[yellow]唯一被动：[/yellow][blue]+10%冷却缩减[/blue],1,1,  
195,$圣徒信仰,1,30,3;3,3001;3003,0,,0,168,114,1200,600,5176;5247,1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+45法强[/green]<br>[yellow]唯一被动：[/yellow][blue]+10法术穿透[/blue],$[green]+45法强[/green]<br>[yellow]唯一被动：[/yellow][blue]+10法术穿透[/blue],1,1,  
236,$诅咒护手,1,9,3;4,3001;4002,0,,0,168;172,109;111,1100,550,19171;19172,1;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30法强<br>+30护甲[/green],$[green]+30法强<br>+30护甲[/green],1,1,  
237,$主宰护膝,1,210,3;4,3001;4003,0,,0,168;170,218,1050,525,19173;19174,1;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30法强<br>+30魔抗[/green],$[green]+30法强<br>+30魔抗[/green],1,1,  
167,$黑曜石,1,98,3;4,3001;4001,0,,0,168;171,108;217;110,1050,525,5377;5378,1;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30法强<br>+200生命值[/green],$[green]+30法强<br>+200生命值[/green],1,1,  
147,$亡灵之魄,1,100,3,3001,0,,0,,112;225,850,425,4400,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+40法强[/green],$[green]+40法强[/green],1,1,  
233,$魔典,1,116,3;3,3001;3005,0,,0,168,217,900,450,19169;19170,1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30法强[/green]<br>[yellow]唯一被动：[/yellow][blue]+10%法术吸血[/blue],$[green]+30法强[/green]<br>[yellow]唯一被动：[/yellow][blue]+10%法术吸血[/blue],1,1,  
240,$圣光权杖,1,107,3;3;5,3001;3006;5001,0,,0,168;243,222,1000,500,19202;19203;19204,1;1;3,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+20法强<br>+100%基础法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]对友方和自己使用增益技能时会额外回复目标（20+等级*5）点的生命值，持续5秒[/blue],$[green]+20法强<br>+100%基础法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]对友方和自己使用附带增益效果类型技能时会额外回复目标[LEVEL=100+4]点的生命值，持续5秒[/blue],1,1,  
202,$牧师坠饰,1,32,3;3;5,3001;3006;5001,0,,0,168;243,138,1000,500,5182;5167;19298,1;1;3,19299,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30法强<br>+100%法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]你的治疗型和护盾型技能效果提升15%[/blue],$[green]+30法强<br>+100%法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]你的治疗型和护盾型技能效果提升15%[/blue],1,1,  
201,$救赎者坠饰,1,31,4;3;5,4001;3001;5001,0,,0,171,223,1000,500,5181;5280;5165,1;3;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+150生命值[/green]<br>[yellow]唯一被动：[/yellow][blue]对友方和自己使用增益技能时会额外增加一个抵挡20+等级*5点伤害的护盾，持续3秒[/blue],$[green]+150生命值[/green]<br>[yellow]唯一被动：[/yellow][blue]对友方和自己用附带增益效果类型技能时会额外增加一个抵挡[LEVEL=500+20]点伤害的护盾，持续3秒。[/blue],1,1,  
232,$守护头巾,1,208,3,3001,0,,0,168;168,218,1000,500,19165;19167,1;2,19168,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+40法强[/green]<br>[yellow]唯一被动：[/yellow][blue]降低周围敌人身上20%的护盾值[/blue],$[green]+40法强[/green]<br>[yellow]唯一被动：[/yellow][blue]降低周围敌人身上20%的护盾值[/blue],1,1,  
168,$初阶法典,1,1,3,3001,0,,0,,106;107;108;113;109;110;112;138;225;226;148;195;236;237;167;233;240;202;232;225,435,218,4425,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+20法强[/green],$[green]+20法强[/green],1,1,  
169,$蓝水晶,1,71,3,3004,0,,0,,157;108;209;146,350,175,4450,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+250法力值[/green],$[green]+250法力值[/green],1,1,  
115,$铁棒(删),1,,,,0,,0,,,795,398,4055,1,,,,,,0,0,0,0,0,1,6,,,,,,$[green]+25攻击力[/green],$[green]+25攻击力[/green],0,1,  
116,$灵能飞刃,1,81,2;4;2;2,2001;4001;2005;2002,0,,0,174;191;171,,2800,1400,4056;4104;4160;6118;19271,1;1;2;1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2019,,,,$[green]+200生命值<br>+30攻击力<br>+30%攻击速度[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]每释放一次技能就能召唤出一把飞刀，下次普攻命中敌人会让飞刀射出，造成（100+英雄等级*6）的额外物理伤害。（冷却2秒）[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],$[green]+200生命值<br>+30攻击力<br>+30%攻击速度[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]每释放一次技能就能召唤出一把飞刀，下次普攻命中敌人会让飞刀射出，造成[orange][LEVEL=600+100][/orange]的额外物理伤害。（冷却2秒）[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],0,1,[size=18][orange]适合突脸半肉[/orange][/size]
117,$风行利刃,1,83,2;2;2,2001;2003;2005,0,,0,159;152,,2700,1350,4057;19305;6120;19270,1;2;2;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2010,,,,$[green]+65攻击力<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]+20穿甲[/blue]<br>[yellow]唯一被动：[/yellow][blue]每次翻滚后你会增加40%移速，持续5秒。冷却时间30秒。[/blue],$[green]+65攻击力<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]+20穿甲[/blue]<br>[yellow]唯一被动：[/yellow][blue]每次翻滚后你会增加40%移速，持续5秒。冷却时间30秒。[/blue],0,1,[size=18][orange]前期游走[/orange][/size]
118,$暴君,1,82,2;2,2001;2004,0,,0,153;203;154,,3250,1625,4058;4059;4167,1;1;2,,4167,2,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+80攻击力<br>+20%暴击概率[/green]<br>[yellow]唯一被动：[/yellow][blue]提升50%暴击伤害。[/blue],$[green]+80攻击力<br>+20%暴击概率[/green]<br>[yellow]唯一被动：[/yellow][blue]提升50%暴击伤害。[/blue],0,1,[size=18][orange]普攻后期核心装[/orange][/size]
122,$行刑黑棺,1,90,2,2001,0,,0,153;203;175,,2850,1425,4064;19312,1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2022,,,,$[green]+90攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]对英雄的普攻和伤害性技能将施加[orange]黑棺[/orange]效果，冷却60秒。[/blue]<br>[orange]黑棺[/orange]:[blue]在3秒后造成魔法伤害，伤害值相当于在3秒期间内你对该英雄总伤害的15%。[/blue],$[green]+90攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]对英雄的普攻和伤害性技能将施加[orange]黑棺[/orange]效果，冷却60秒。[/blue]<br>[orange]黑棺[/orange]:[blue]在3秒后造成魔法伤害，伤害值相当于在3秒期间内你对该英雄总伤害的15%。[/blue],0,1,[size=18][orange]提升单体秒人[/orange][/size]
132,$血契魔锤,1,45,4;2,4001;2001,0,,0,193;171,,2250,1125,4080;4081;4219,1;1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2023,,,,$[green]+400生命值<br>+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]当2秒内你减少的血量超过你最大生命值的30%时，将会获得一个护盾。护盾值相当于你30%的最大生命值，持续2秒。冷却60秒。[/blue],$[green]+400生命值<br>+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]当2秒内你减少的血量超过你最大生命值的30%时，将会获得一个护盾。护盾值相当于你30%的最大生命值，持续2秒。冷却60秒。[/blue],0,1,[size=18][orange]防止被秒[/orange][/size]
133,$斩裂剑,1,87,4;2;2,4001;2001;2005,0,,0,171;152;203,,2750,1375,4082;4083;4221;19273,1;1;2;2,,4221,2,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+300生命值<br>+50攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]对英雄每造成一次物理伤害就会减少其5%护甲（最低间隔0.5秒），减甲效果持续3秒，最多叠5层。[/blue],$[green]+300生命值<br>+50攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]对英雄每造成一次物理伤害就会减少其5%护甲（最低间隔0.5秒），减甲效果持续3秒，最多叠5层。[/blue],0,1,[size=18][orange]物理前排对刚[/orange][/size]
209,$夺命匕首,1,52,2;2;2,2001;2007;2005,0,,0,169;152;175,,2550,1275,6442;6443;6450;19040;19285;19286,1;1;1;2;2;2,6449,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+40攻击力<br>+400法力值[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动_灵魂汲取：[/yellow][blue]附近敌方小兵或野怪死亡能增加攻击力和法力值，最多40攻击力，600法力值。[/blue],$[green]+40攻击力<br>+400法力值[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动_灵魂汲取：[/yellow][blue]附近敌方小兵或野怪死亡能增加攻击力和法力值，最多40攻击力，600法力值。[/blue],0,1,[size=18][orange]物理系法力装[/orange][/size]
213,$超脉冲步枪,1,108,2,2001,0,,0,175;203,,2200,1100,19004;19005,1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+45攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻额外造成（80/基础攻速）物理伤害[/blue],$[green]+45攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻额外造成[PASD=8000/[_PASD=100]]点的物理伤害[/blue],0,1,[size=18][orange]射手前期打架装[/orange][/size]
127,$暴走左轮,1,24,2;2,2004;2002,0,,0,173;198;174,,2400,1200,4070;4071;4161,1;1;2,4364,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30%攻击速度<br>+30%暴击[/green]<br>[yellow]唯一被动：[/yellow][blue]连续五次普攻击中目标，第五下普攻会给目标造成(（100+2*英雄等级）/基础攻速)物理伤害[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],$[green]+30%攻击速度<br>+30%暴击[/green]<br>[yellow]唯一被动：[/yellow][blue]连续五次普攻击中目标，第五下普攻会给目标造成[PASD=[LEVEL=20000+10000]/[_PASD=100]]物理伤害[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],0,1,[size=18][orange]普攻站桩输出[/orange][/size]
134,$幻影之镰,1,88,2,2004,0,,0,,,2550,1275,4074;886,1;2,,,,,,0,0,0,0,0,1,6,,,,,,$[green]+30%暴击[/green]<br>[yellow]唯一被动：[/yellow][blue]进行普通攻击时，幻影之镰会同时攻击目标，造成15%伤害并触发攻击特效[/blue],$[green]+30%暴击[/green]<br>[yellow]唯一被动：[/yellow][blue]进行普通攻击时，幻影之镰会同时攻击目标，造成15%伤害并触发攻击特效[/blue],0,1,[size=18][orange]普攻特效核心装[/orange][/size]
212,$强袭大剑,1,112,2;2;2,2001;2003;2005,0,,0,159;152,,2650,1325,6511;6512;19306;19313;19281;19300;19302,1;1;2;2;1;2;2,19301;19303,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2045,,,,$[green]+60攻击力<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]+20护甲穿透[/blue]<br>[yellow]唯一被动：[/yellow][blue]普攻命中英雄使其3秒内不能翻滚，冷却时间30秒[/blue],$[green]+60攻击力<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]+20护甲穿透[/blue]<br>[yellow]唯一被动：[/yellow][blue]普攻命中英雄使其3秒内不能翻滚，冷却时间30秒[/blue],0,1,[size=18][orange]禁翻滚[/orange][/size]
126,$魔剑.斩魂,1,89,2;3,2002;3001,0,,0,145;158;174,,2950,1475,4068;4069;4197,1;1;2,,4197,2,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+70法强<br>+50%攻击速度[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻附加（（15+0.16*法强）/基础攻速）魔法伤害。[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],$[green]+70法强<br>+50%攻击速度[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻附加[PASD=[MA=1600+1500]/[_PASD=100]]魔法伤害。[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],0,1,[size=18][orange]法系普攻输出[/orange][/size]
216,$雷切太刀,1,110,2;2;7,2002;2004;7001,0,,0,173;198;174,,2400,1200,19017;19018;19019;19020;19021,1;1;1;1;2,19024,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+40%攻击速度<br>+30%暴击概率<br>+5%移动速度[/green]<br>[yellow]唯一被动_太刀之风：[/yellow][blue]在周围范围内存在敌方英雄时，自己增加15%的移动速度[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],$[green]+40%攻击速度<br>+30%暴击概率<br>+5%移动速度[/green]<br>[yellow]唯一被动_太刀之风：[/yellow][blue]在周围范围内存在敌方英雄时，自己增加15%的移动速度[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],0,1,[size=18][orange]普攻英雄机动能力[/orange][/size]
120,$御法之剑,1,84,2;4,2001;4003,0,,0,156;203,,2500,1250,4061;4062;19307,1;1;2,4365;6801,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2035,,,,$[green]+50攻击力<br>+50魔抗[/green]<br>[yellow]唯一被动：[/yellow][blue]获得一个能抵挡一次敌方技能的法术护盾，冷却时间40秒。[/blue],$[green]+50攻击力<br>+50魔抗[/green]<br>[yellow]唯一被动：[/yellow][blue]获得一个能抵挡一次敌方技能的法术护盾，冷却时间40秒。[/blue],0,1,[size=18][orange]防止被先手[/orange][/size]
210,$铭文阔剑,1,114,2;2,2002;2004,0,,0,198;173;,,2350,1175,6499;6500;19316;6910,1;1;1;2,19217;19292;19293,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2043,,,,$[green]+30%攻击速度<br>+30%暴击[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻额外获得100%攻击速度，持续1.5秒，7秒冷却时间[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],$[green]+30%攻击速度<br>+30%暴击[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻额外获得100%攻击速度，持续1.5秒，7秒冷却时间[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],0,1,[size=18][orange]提高普攻暴发[/orange][/size]
141,$伊贺飓风,1,20,2;2;2;3,2001;2002;2006;3005,0,,0,158;155,,2600,1300,4754;4755;4097;4257;6119,1;1;1;2;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+25攻击力<br>+20%攻击速度[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻和技能吸血+15%。[/blue]<br>[yellow]唯一被动：[/yellow][blue]普攻命中敌人攻击速度+8%（最低间隔0.5秒），叠满5层时攻击速度+60%[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],$[green]+25攻击力<br>+20%攻击速度[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻和技能吸血+15%。[/blue]<br>[yellow]唯一被动：[/yellow][blue]普攻命中敌人攻击速度+8%（最低间隔0.5秒），叠满5层时攻击速度+60%[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],0,1,[size=18][orange]提高后续输出[/orange][/size]
121,$血饮狂刀,1,92,2;2,2001;2006,0,,0,153;155;175,,3000,1500,4063;4187;19308,1;1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2014,,,,$[green]+90攻击力<br>+20%生命偷取[/green]<br>[yellow]唯一被动：[/yellow][blue]当你的生命值低于35%时，会提升25%的生命偷取，持续5秒.冷却60秒。[/blue],$[green]+90攻击力<br>+20%生命偷取[/green]<br>[yellow]唯一被动：[/yellow][blue]当你的生命值低于35%时，会提升25%的生命偷取，持续5秒.冷却60秒。[/blue],0,1,[size=18][orange]后期对刚和收割[/orange][/size]
123,$超合金巨钻,1,46,2;2,2001;2003,0,,0,197;175,,2300,1150,4065;4177;4178,1;2;2,,4178,2,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+45攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]无视敌人45%的额外护甲[/blue]<br>[yellow]唯一被动：[/yellow][blue]普攻和伤害性技能在命中敌方英雄时会施加4秒的重伤效果。[/blue],$[green]+45攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]无视敌人45%的额外护甲[/blue]<br>[yellow]唯一被动：[/yellow][blue]普攻和伤害性技能在命中敌方英雄时会施加4秒的重伤效果。[/blue],0,1,[size=18][orange]克高护甲[/orange][/size]
130,$巨龙狩猎者,1,41,2;2,2001;2002,0,,0,158;203,,2600,1300,4076;4077;19000,1;1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+30攻击力<br>+40%攻击速度[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻附带额外物理伤害，伤害量相当于目标当前生命值的5%/基础攻速（对野怪无效）[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],$[green]+30攻击力<br>+40%攻击速度[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻附带额外物理伤害，伤害量相当于目标当前生命值的5%/基础攻速（对野怪无效）[/blue]<br>[yellow]注：[/yellow][blue]攻击速度能同时提升普攻的攻击速度和单次伤害[/blue],0,1,[size=18][orange]克高血量[/orange][/size]
211,$寒霜重剑,1,113,2;6;2;7,2001;6001;2005;7001,0,,0,199;152;175,,2500,1250,6504;19310;19315;6277;19279;19280;19300;19302,1;2;2;2;1;2;2;2,4027;19301;19303,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2044,,,,$[green]+65攻击力<br>+10%冷却缩减<br>+8%移动速度[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻命中英雄使其3秒内不能翻滚，冷却时间30秒[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能命中野怪时每秒最多额外造成（30+英雄等级）点的法术伤害，且每秒最多回复自身（30+英雄等级）点的生命值[/blue],$[green]+65攻击力<br>+10%冷却缩减<br>+8%移动速度[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻命中英雄使其3秒内不能翻滚，冷却时间30秒[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能命中野怪时每秒最多额外造成[LEVEL=100+30]点的法术伤害，且每秒最多回复自身[LEVEL=100+30]点的生命值[/blue],0,1,[size=18][orange]物攻打野装[/orange][/size]
131,$凛冬战锤,1,44,4;2,4001;2001,0,,0,203;150,,2550,1275,4078;4079;4215;4216,1;1;2;2,,19256,2,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+600生命值<br>+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]你的普攻在命中英雄时会降低其移速：<br>1.如果你是近战英雄，则可以降低敌方40%的移速，持续2秒。<br>2.如果你是远程英雄，则可以降低敌方30%的移速，持续1秒。[/blue],$[green]+600生命值<br>+30攻击力[/green]<br>[yellow]唯一被动：[/yellow][blue]你的普攻在命中英雄时会降低其移速：<br>1.如果你是近战英雄，则可以降低敌方40%的移速，持续2秒。<br>2.如果你是远程英雄，则可以降低敌方30%的移速，持续1秒。[/blue],0,1,[size=18][orange]普攻英雄粘人[/orange][/size]
